date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/7/22;La Magdalena;Magdalena Eguna;Ayala - Luiaondo  ;Aiara - Luiaondo  ;Álava - Araba;10;43,102723;-2,997211
2022/7/26;Santiago;Done Jakue;Ayala - Llanteno  ;Aiara - Llanteno  ;Álava - Araba;10;43,091803;-3,099984
2022/11/23;San Clemente;Done Klemente;Ayala - Madaria  ;Aiara - Madaria  ;Álava - Araba;10;43,043890;-3,085953
2022/1/17;San Antón;Done Anton;Ayala - Maroño  ;Aiara - Maroño  ;Álava - Araba;10;43,055065;-3,059010
2022/6/29;San Pedro;Done Petri;Ayala - Menagarai  ;Aiara - Menagarai  ;Álava - Araba;10;43,096299;-3,072769
2022/4/25;San Marcos;Done Marko;Ayala - Menoio  ;Aiara - Menoio  ;Álava - Araba;10;43,069585;-3,072926
2022/6/24;San Juan;Done Joane;Ayala - Murga  ;Aiara - Murga  ;Álava - Araba;10;43,075372;-3,025590
2022/1/24;San Babilás;Done Babilas;Ayala - Olabezar  ;Aiara - Olabezar  ;Álava - Araba;10;43,069997;-3,014813
2022/10/8;Ntra. Sra. del Rosario ;Errosarioko Andra Maria;Ayala - Ozeka  ;Aiara - Ozeka  ;Álava - Araba;10;43,070824;-3,090905
2022/8/5;Las Nieves;Elurretako Andra Maria;Ayala - Quejana  ;Aiara - Kexaa;Álava - Araba;10;43,081485;-3,063094
2022/5/16;San Isidro;Done Isidro;Ayala - Respaldiza  ;Aiara - Arespalditza  ;Álava - Araba;10;43,078065;-3,042931
2022/7/22;La Magdalena;Magdalena Eguna;Ayala - Retes de Llanteno  ;Aiara - Retes de Llanteno  ;Álava - Araba;10;43,091803;-3,099984
2022/7/18;Santa Marina;Dona Marina;Ayala - Salmantón  ;Aiara - Salmanton  ;Álava - Araba;10;43,052629;-3,088347
2022/8/30;San Emeterio;Done Meteri;Ayala - Sojo  ;Aiara - Soxo  ;Álava - Araba;10;43,090730;-3,122839
2022/7/18;Santa Marina ;Dona Marina;Ayala - Zuaza  ;Aiara - Zuhatza  ;Álava - Araba;10;43,099672;-3,049447
2022/8/24;San Bartolomé;Done Bartolome;Baños de Ebro  ;Mañueta;Álava - Araba;11;42,530290;-2,679144
2022/6/24;San Juan;Done Joane;Barrundia  ;Barrundia  ;Álava - Araba;13;42,916667;-2,491667
2022/9/8;Asunción de María;Jasokundearen eguna;Berantevilla  ;Berantevilla  ;Álava - Araba;14;42,682450;-2,860401
2022/9/8;Fiesta local;Tokiko jaieguna;Bernedo  ;Bernedo  ;Álava - Araba;16;42,626684;-2,497532
2022/5/16;San Isidro;Done Isidro;Campezo  ;Kanpezu;Álava - Araba;17;42,691944;-2,370000
2022/9/8;La Virgen;Andra Maria;Kripan  ;Kripan  ;Álava - Araba;19;42,591666;-2,516079
2022/6/24;Fiesta local;Tokiko jaieguna;Kuartango  ;Kuartango  ;Álava - Araba;20;42,871389;-2,885556
2022/6/29;San Pedro;San Pedro;Elburgo  ;Burgelu;Álava - Araba;21;42,849564;-2,544762
2022/9/8;Virgen de la Plaza;Plazako Andra Maria;Elciego  ;Zieko;Álava - Araba;22;42,515073;-2,618277
2022/8/16;San Roque;San Roke;Elvillar;Bilar;Álava - Araba;23;42,570497;-2,544915
2022/6/24;Fiesta local;Tokiko jai-eguna;Valle de Arana;Harana;Álava - Araba;;42,752731;-2,312303
2022/8/16;San Roque;Done Roke;Iruña de Oca - Nanclares de la Oca;Iruña Oka - Langraiz Oka;Álava - Araba;901;42,817197;-2,811518
2022/6/24;San Juan;Done Joane;Iruraiz-Gauna  ;Iruraiz-Gauna  ;Álava - Araba;27;42,822072;-2,495043
2022/11/25;2º día de Acción de Gracias  ;2. Esker Oneko Eguna;Labastida  ;Labastida  ;Álava - Araba;28;42,590459;-2,792991
2022/8/24;Fiesta local;Tokiko jaieguna;Lagrán  ;Lagrán  ;Álava - Araba;30;42,626395;-2,583820
2022/6/24;San Juan;Done Joane;Laguardia  ;Laguardia  ;Álava - Araba;31;42,554278;-2,584237
2022/9/8;Virgen del Campo;Amabirjina;Lanciego  ;Lantziego  ;Álava - Araba;32;42,562619;-2,513204
2022/9/16;Santos Cornelio y Cipriano  ;Done Kornelio eta Done Zipri;Lantarón  ;Lantarón  ;Álava - Araba;902;42,756673;-2,987556
