date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
2022/7/16;Virgen del Carmen;Virgen del Carmen;Santurtzi  ;Santurtzi  ;Bizkaia;82;43,328711;-3,031772
2022/6/29;San Pedro Apóstol;San Pedro apostoluaren eguna;Sestao  ;Sestao  ;Bizkaia;84;43,309635;-3,006940
2022/6/24;Fiesta local;Tokiko jaieguna;Sondika  ;Sondika  ;Bizkaia;904;43,300063;-2,927103
2022/6/29;San Pedro;San Pedro;Sopelana  ;Sopelana  ;Bizkaia;85;43,378918;-2,983002
2022/7/26;Santa Ana;Santa Ana;Sopuerta  ;Sopuerta  ;Bizkaia;86;43,262778;-3,152500
2022/11/30;San Andrés  ;San Andres  ;Sukarrieta  ;Sukarrieta  ;Bizkaia;76;43,395342;-2,696367
2022/6/29;San Pedro;San Pedro;Trucios-Turtzioz  ;Trucios-Turtzioz  ;Bizkaia;87;43,272678;-3,288545
2022/6/24;San Juan;San Juan eguna;Ubide  ;Ubide  ;Bizkaia;88;43,026832;-2,688209
2022/9/8;Nuestra Señora de la Virgen de Udiarraga  ;Nuestra Señora de la Virgen de Udiarraga  ;Ugao-Miraballes  ;Ugao-Miraballes  ;Bizkaia;65;43,179989;-2,902508
2022/9/8;Andramari;Andramari;Urduliz  ;Urduliz  ;Bizkaia;89;43,379667;-2,962000
2022/5/9;Otxomaio  ;Otxomaio  ;Urduña-Orduña  ;Urduña-Orduña  ;Bizkaia;74;42,994449;-3,009622
2022/8/8;Transfiguración del Señor;Transfiguración del Señor;Valle de Trápaga-Trapagaran  ;Valle de Trápaga-Trapagaran  ;Bizkaia;80;43,303108;-3,035548
2022/7/8;Fiesta local;Tokiko jaieguna;Zaldibar  ;Zaldibar  ;Bizkaia;95;43,170970;-2,547130
2022/10/3;Día de Gangas;Gangas eguna;Zalla  ;Zalla  ;Bizkaia;96;43,214009;-3,135223
2022/11/11;San Martín;San Martin eguna;Zamudio  ;Zamudio  ;Bizkaia;905;43,283333;-2,866667
2022/8/10;San Lorenzo  ;San Lorenzo eguna ;Zaratamo  ;Zaratamo  ;Bizkaia;97;43,211505;-2,873626
2022/8/16;San Roque;San Roke eguna;Zeanuri  ;Zeanuri  ;Bizkaia;24;43,099664;-2,749615
2022/9/2;San Antolín  ;San Antolin eguna;Zeberio  ;Zeberio  ;Bizkaia;25;43,152778;-2,852778
2022/10/17;Día de la Independencia de Zierbena  ;Zierbenako Independentziaren Eguna  ;Zierbena  ;Zierbena  ;Bizkaia;913;43,347655;-3,086152
2022/6/24;San Juan;San Juan;Ziortza-Bolibar  ;Ziortza-Bolibar  ;Bizkaia;915;43,249820;-2,550174
2022/6/24;San Juan;San Juan;Abaltzisketa  ;Abaltzisketa  ;Gipuzkoa;1;43,047582;-2,105388
2022/8/16;Fiesta local;Tokiko jai-eguna;Aduna  ;Aduna  ;Gipuzkoa;2;43,203792;-2,050079
2022/8/10;San Lorenzo;San Lorenzo;Aia  ;Aia  ;Gipuzkoa;16;43,236922;-2,149008
2022/9/29;San Miguel Arcángel;Mikel Goi Angerua;Aizarnazabal  ;Aizarnazabal  ;Gipuzkoa;3;43,255405;-2,236461
2022/8/16;Fiesta local;Tokiko jaieguna;Albiztur  ;Albiztur  ;Gipuzkoa;4;43,129723;-2,137180
2022/7/16;Fiesta local;Tokiko jaieguna;Alegia  ;Alegia  ;Gipuzkoa;5;43,100017;-2,096273
2022/9/8;Natividad de la Virgen;Amabirjinaren jaiotze eguna;Alkiza  ;Alkiza  ;Gipuzkoa;6;43,172434;-2,109436
2022/9/29;San Miguel Arcángel;Mikel Goi Angerua;Altzaga  ;Altzaga  ;Gipuzkoa;906;43,064490;-2,153833
2022/2/28;Lunes de Carnaval  ;Iñauterietako Astelehena;Altzo  ;Altzo  ;Gipuzkoa;7;43,100072;-2,083905
2022/8/24;San Bartolomé;Bartolome Deuna;Amezketa  ;Amezketa  ;Gipuzkoa;8;43,044517;-2,083235
2022/6/24;San Juan;San Juan;Andoain  ;Andoain  ;Gipuzkoa;9;43,220480;-2,021122
2022/6/16;Corpus Christi  ;Gorpuzti-eguna;Anoeta  ;Anoeta  ;Gipuzkoa;10;43,161467;-2,070695
2022/7/15;Fiesta local;Tokiko jai-eguna;Antzuola  ;Antzuola  ;Gipuzkoa;11;43,099441;-2,381747
2022/11/11;San Martín  ;Martin Deuna;Arama  ;Arama  ;Gipuzkoa;12;43,063637;-2,165558
2022/8/16;Fiesta local;Tokiko jai-eguna;Aretxabaleta  ;Aretxabaleta  ;Gipuzkoa;13;43,036248;-2,504542
2022/6/24;San Juan Bautista;San Juan Bataiatzailea;Arrasate-Mondragon  ;Arrasate-Mondragon  ;Gipuzkoa;55;43,066517;-2,487562
2022/6/29;San Pedro  ;San Pedro;Asteasu  ;Asteasu  ;Gipuzkoa;14;43,195198;-2,097548
2022/7/26;Fiesta local;Tokiko jai-eguna;Astigarraga  ;Astigarraga  ;Gipuzkoa;903;43,280652;-1,947560
2022/11/11;San Martín;San Martin;Ataun  ;Ataun ;Gipuzkoa;15;43,005480;-2,176620
2022/11/30;San Andrés  ;San Andres;Azkoitia  ;Azkoitia  ;Gipuzkoa;17;43,178205;-2,311640
2022/1/20;San Sebastián;San Sebastian;Azpeitia  ;Azpeitia  ;Gipuzkoa;18;43,183900;-2,265466
2022/8/16;Fiesta local;Tokiko jai-eguna;Baliarrain  ;Baliarrain  ;Gipuzkoa;904;43,069306;-2,129235
2022/5/30;Fiesta local;Tokiko jai-eguna;Beasain  ;Beasain  ;Gipuzkoa;19;43,047076;-2,204605
2022/6/29;Fiesta local;Tokiko jai-eguna;Beizama  ;Beizama  ;Gipuzkoa;20;43,134191;-2,200113
2022/6/24;San Juan;San Juan;Belaunza  ;Belauntza  ;Gipuzkoa;21;43,135283;-2,050705
2022/8/10;San Lorenzo  ;San Lorentzo;Berastegi  ;Berastegi  ;Gipuzkoa;22;43,124029;-1,979426
2022/9/16;San Martín Agirre;San Martin Agirre;Bergara  ;Bergara  ;Gipuzkoa;74;43,118217;-2,413358
2022/11/30;San Andrés;San Andres;Berrobi  ;Berrobi  ;Gipuzkoa;23;43,145479;-2,026374
2022/8/16;Día siguiente a la Virgen;Andra Mariren biharmunea;Bidania  - Goiatz  ;Bidania  - Goiatz  ;Gipuzkoa;24;43,142086;-2,167475
2022/8/24;San Bartolomé;Bartolome Deuna;Bidania - Bidania  ;Bidania - Bidania  ;Gipuzkoa;24;43,139399;-2,159979
2022/8/16;San Roque;San Roke;Deba  ;Deba  ;Gipuzkoa;29;43,295562;-2,353894
2022/1/20;San Sebastián  ;San Sebastian;Donostia-San Sebastian  ;Donostia-San Sebastian  ;Gipuzkoa;69;43,321874;-1,985520
2022/6/24;San Juan;San Juan;Eibar  ;Eibar  ;Gipuzkoa;30;43,184180;-2,473289
2022/9/8;Natividad de la Virgen;Amabirjinaren jaiotze eguna;Elduaien  ;Elduain  ;Gipuzkoa;31;43,140712;-2,000488
2022/7/1;Fiesta local;Tokiko jai-eguna;Elgeta  ;Elgeta  ;Gipuzkoa;33;43,136572;-2,487392
2022/1/17;San Antón;San Anton;Elgoibar  ;Elgoibar  ;Gipuzkoa;32;43,215187;-2,415702
2022/7/22;María Magdalena  ;Madalena eguna;Errenteria  ;Errenteria  ;Gipuzkoa;67;43,312752;-1,899633
2022/11/11;Fiesta local;Tokiko jaieguna;Errezil  ;Errezil  ;Gipuzkoa;66;43,164674;-2,173594
2022/6/29;San Pedro;San Pedro;Eskoriatza  ;Eskoriatza  ;Gipuzkoa;34;43,017074;-2,526980
2022/5/9;Aparicio de San Miguel;Mikel Deuna;Ezkio-Itsaso - Ezkio  ;Ezkio-Itsaso - Ezkio  ;Gipuzkoa;35;43,080484;-2,275421
2022/6/29;San Pedro;Pedro Deuna;Ezkio-Itsaso - Sta. Lutzi-Anduaga;Ezkio-Itsaso - Sta. Lutzi-Anduaga;Gipuzkoa;35;43,064321;-2,274735
2022/8/16;San Roque  ;San Roke;Gabiria  ;Gabiria  ;Gipuzkoa;38;43,049689;-2,279856
2022/9/29;San Miguel  ;San Migel;Gaintza  ;Gaintza  ;Gipuzkoa;37;43,052629;-2,132370
2022/8/16;Fiesta local;Tokiko jaieguna;Gaztelu  ;Gaztelu  ;Gipuzkoa;907;43,116579;-2,022278
2022/8/6;San Salvador  ;Salbatore Deuna;Getaria  ;Getaria  ;Gipuzkoa;39;43,303261;-2,204363
2022/6/24;San Juan Bautista;San Joan Bataiatzailea;Hernani  ;Hernani  ;Gipuzkoa;40;43,267549;-1,975814
2022/8/16;Fiesta local;Tokiko jai-eguna;Hernialde  ;Hernialde  ;Gipuzkoa;41;43,154467;-2,085025
2022/9/8;Ntra. Sra. De Guadalupe;Guadalupeko Ama;Hondarribia  ;Hondarribia  ;Gipuzkoa;36;43,362531;-1,791498
2022/8/24;San Bartolomé  ;San Bartolome;Ibarra  ;Ibarra  ;Gipuzkoa;42;43,132345;-2,065462
2022/2/3;Fiesta local;Tokiko jai-eguna;Idiazabal  ;Idiazabal  ;Gipuzkoa;43;43,011782;-2,234214
2022/8/10;San Lorenzo;San Lorentzo;Ikaztegieta  ;Ikaztegieta  ;Gipuzkoa;44;43,094960;-2,123900
2022/6/30;San Marcial;San Marcial;Irun  ;Irun  ;Gipuzkoa;45;43,338233;-1,789272
2022/9/29;San Miguel ;San Migel;Irura  ;Irura  ;Gipuzkoa;46;43,165688;-2,069616
2022/7/22;María Magdalena;Madalena Donea;Itsaso - Barrio Itxaso-Alegia ;Itsaso - Itxaso-Alegia auzoa ;Gipuzkoa;35;43,058055;-2,268215
2022/8/24;San Bartolomé;Bartolome Deuna;Itsaso - Casco;Itsaso - hirigunea;Gipuzkoa;35;43,072544;-2,257418
2022/9/8;Día de la Virgen de Kizkitza;Kizkitzako Ama Birjinaren eguna;Itsaso - Mendialdea;Itsaso - Mendialdea Zozkera;Gipuzkoa;35;43,072544;-2,257418
2022/9/23;Fiesta local;Tokiko jai-eguna;Itsasondo  ;Itsasondo  ;Gipuzkoa;47;43,066932;-2,167393
2022/8/3;Fiesta local;Tokiko jai-eguna;Larraul  ;Larraul  ;Gipuzkoa;48;43,187739;-2,102534
2022/6/29;San Pedro ;San Pedro ;Lasarte-Oria  ;Lasarte-Oria;Gipuzkoa;902;43,267455;-2,020179
2022/4/28;San Prudencio  ;San Prudentzio;Lazkao  ;Lazkao  ;Gipuzkoa;49;43,034324;-2,187379
2022/6/29;San Pedro ;San Pedro;Leaburu  ;Leaburu  ;Gipuzkoa;50;43,124984;-2,052106
2022/5/3;Santa Cruz;Santikutz eguna;Legazpi  ;Legazpi  ;Gipuzkoa;51;43,054361;-2,333641
2022/5/26;La Ascensión;Azintzio eguna;Legorreta  ;Legorreta  ;Gipuzkoa;52;43,085794;-2,150909
2022/9/8;Festividad de la Virgen;Amabirjinaren eguna;Leintz-Gatzaga  ;Leintz-Gatzaga  ;Gipuzkoa;68;42,987112;-2,568626
2022/9/14;Exaltación de la Santa Cruz  ;Gurutze Santuaren gorespena;Lezo  ;Lezo  ;Gipuzkoa;53;43,321127;-1,898775
