|Catastro|ReferenciaCP|IdCliente|Producto|Fecha|TipoProducto|AltaCliente
106640|087 2000501120UN02UN0UN|087 2000501120|6105422|N01|2020-06-03|Servicio principal|2020-02-16 00:00:00
205094|033 2006900750UN040B0UN|033 2006900750|6125687|N01|2020-05-03|Servicio sin cuota|2020-03-19 00:00:00
21253|008 0105902010UN060C0UN|008 0105902010|6098841|N06|2020-03-03|Servicio principal|2020-01-11 00:00:00
149999|002 4802008896UN040C0UN|002 4802008896|6115427|N06|2020-05-03|Servicio principal|2020-02-26 00:00:00
58564|010 2007902403UN03CN0UN|010 2007902403|6103115|N04|2020-05-03|Servicio principal|2020-01-25 00:00:00
167664|003 2090200600UN010C0UN|003 2090200600|6118145|N06|2020-05-03|Servicio principal|2020-03-01 00:00:00
275831|078 4802004120UN07IZ0UN|078 4802004120|6100111|N04|2020-05-03|Servicio principal|2020-01-18 00:00:00
121423|005A2007401640UN030C0UN|005A2007401640|2305530|N04|2020-04-03|Servicio principal|2020-02-12 00:00:00
12394|027 0100202420UN020B0UN|027 0100202420|6097637|N04|2020-04-03|Servicio principal|2020-01-09 00:00:00
242431|004 4802008720UNPBUN001|004 4802008720|6133971|N06|2020-05-03|Servicio principal|2020-04-18 00:00:00
39299|026 4802003260UN080D0UN|026 4802003260|4163892|N01|2020-06-03|Servicio sin cuota|2020-01-19 00:00:00
189903|004 2003201842UN040A0UN|004 2003201842|6122564|N04|2020-04-03|Servicio principal|2020-03-18 00:00:00
233142|008 4807800250UN040C0UN|008 4807800250|409451|N06|2020-05-03|Servicio principal|2020-04-26 00:00:00
86110|016 0819600232UNLOUN001|016 0819600232|6106541|N01|2020-06-03|Servicio principal|2020-02-02 00:00:00
28409|014 3114900001UN050A0UN|014 3114900001|6099661|N01|2020-05-03|Servicio principal|2020-01-16 00:00:00
53073|002A4804300015UN02DR0UN|002A4804300015|6102122|N06|2020-04-03|Servicio principal|2020-01-29 00:00:00
79294|008 3120103030UNPBUN002|008 3120103030|6105739|N06|2020-02-03|Servicio principal|2020-01-30 00:00:00
203913|008 4802007880UN060C0UN|008 4802007880|6125473|N01|2020-04-03|Servicio principal|2020-03-20 00:00:00
322350|009 2005504260UN03IZ0UN|009 2005504260|6105988|N04|2020-03-03|Servicio principal|2020-01-30 00:00:00
238153|030 2608900015E1040B0UN|030 2608900015|6101388|N06|2020-02-03|Servicio sin cuota|2020-01-18 00:00:00
265417|059 0101007900UNPBUN0UN|059 0101007900|6138284|N06|2020-06-03|Servicio sin cuota|2020-05-30 00:00:00
304174|027 2004001805UNUNUNPOR|027 2004001805|201015|N01|2020-02-03|Servicio principal|2020-01-30 00:00:00
319660|009 4800100065UNPBUN002|009 4800100065|6112257|N01|2020-04-03|Servicio principal|2020-02-23 00:00:00
235037|005 3902000053UN010C0UN|005 3902000053|6101301|N06|2020-04-03|Servicio sin cuota|2020-01-18 00:00:00
221574|003 4807700018UN03UN0UN|003 4807700018|6097793|N04|2020-04-03|Servicio principal|2020-01-12 00:00:00
307698|007 4802003050UN04IZ0UN|007 4802003050|6138507|N06|2020-05-03|Servicio principal|2020-05-02 00:00:00
154049|008 2005502340UN04DR0UN|008 2005502340|6116007|N01|2020-05-03|Servicio sin cuota|2020-02-26 00:00:00
85592|003 4801500208UN01IZ0UN|003 4801500208|6106500|N01|2020-04-03|Servicio sin cuota|2020-02-01 00:00:00
30565|004 2005901210UN04IZ0UN|004 2005901210|275717|N01|2020-05-03|Servicio principal|2020-01-19 00:00:00
168120|002 2000901791UN060A0UN|002 2000901791|6118332|N04|2020-06-03|Servicio principal|2020-02-29 00:00:00
35304|012 2006301106UN04DR0UN|012 2006301106|1570079|N06|2020-05-03|Servicio principal|2020-02-19 00:00:00
36194|018 4802005545UN040C0UN|018 4802005545|6100544|N06|2020-05-03|Servicio principal|2020-01-16 00:00:00
257818|028 2608900141E1PBUN001|028 2608900141|6106523|N04|2020-03-03|Servicio principal|2020-01-31 00:00:00
119723|014B2512000200UN03UN004|014B2512000200|6110921|N06|2020-05-03|Servicio sin cuota|2020-02-10 00:00:00
172838|051 4802004630UN04IZ0UN|051 4802004630|6119105|N01|2020-05-03|Servicio principal|2020-03-07 00:00:00
182851|003 2003001203UN02IZ0UN|003 2003001203|6121046|N04|2020-04-03|Servicio principal|2020-03-11 00:00:00
137722|001 2001801503UN040A0UN|001 2001801503|6113547|N01|2020-06-03|Servicio principal|2020-02-23 00:00:00
125606|004 2007902707UN050A0UN|004 2007902707|506592|N04|2020-05-03|Servicio principal|2020-02-16 00:00:00
130942|002 3123200029E7010A0UN|002 3123200029|6112523|N01|2020-04-03|Servicio principal|2020-02-17 00:00:00
325826|002 0105904888UN010D0UN|002 0105904888|464914|N06|2020-03-03|Servicio principal|2020-01-22 00:00:00
185530|005 3120101480UN04DR0UN|005 3120101480|6121591|N01|2020-05-03|Servicio principal|2020-03-14 00:00:00
314530|031 0105904522UNPBUN0UN|031 0105904522|2260009|N06|2020-04-03|Servicio sin cuota|2020-03-24 00:00:00
107099|004A4803400009UNPBUN001|004A4803400009|809624|N06|2020-04-03|Servicio principal|2020-02-09 00:00:00
35775|014 0105904679UN140C0UN|014 0105904679|2297748|N06|2020-02-03|Servicio principal|2020-01-17 00:00:00
153094|002 2001901250UN01UN0UN|002 2001901250|6115892|N01|2020-04-03|Servicio principal|2020-03-08 00:00:00
128277|001 3101000013UN010B0UN|001 3101000013|6112145|N06|2020-04-03|Servicio sin cuota|2020-03-01 00:00:00
83253|016 3120101840UN010D0UN|016 3120101840|6106238|N04|2020-04-03|Servicio principal|2020-01-30 00:00:00
42458|017 4802005180UN010D0UN|017 4802005180|6101131|N06|2020-04-03|Servicio principal|2020-01-18 00:00:00
213316|002 2004606003UNPBUN002|002 2004606003|4224970|N06|2020-05-03|Servicio principal|2020-03-24 00:00:00
219973|024 0105904871UN050D0UN|024 0105904871|1752932|N06|2020-05-03|Servicio principal|2020-03-27 00:00:00
4994|015 4809000106UN020D0UN|015 4809000106|3497126|N06|2020-02-03|Servicio principal|2020-01-09 00:00:00
195675|049 3107000146UNPBUN001|049 3107000146|6123849|N04|2020-06-03|Servicio principal|2020-03-25 00:00:00
18386|008 4802003210UN01DR0UN|008 4802003210|3479886|N06|2020-05-03|Servicio principal|2020-01-09 00:00:00
298032|167 0818000511E101UN003|167 0818000511|6116767|N01|2020-03-03|Servicio principal|2020-03-01 00:00:00
273111|089 1702301070EA02UN001|089 1702301070|6140194|N04|2020-06-03|Servicio principal|2020-05-09 00:00:00
204126|001A4802002830UN040A0UN|001A4802002830|4256385|N06|2020-05-03|Servicio principal|2020-03-15 00:00:00
213536|020 4808200151UNPB0A0UN|020 4808200151|2015041|N06|2020-05-03|Servicio principal|2020-03-24 00:00:00
228355|009 0105904699UN030A0UN|009 0105904699|6129822|N01|2020-05-03|Servicio principal|2020-04-03 00:00:00
138195|017 2005901410UN050B0UN|017 2005901410|3436187|N06|2020-03-03|Servicio principal|2020-02-16 00:00:00
262685|007 4807100051UN02IZ0UN|007 4807100051|6137751|N01|2020-05-03|Servicio sin cuota|2020-04-30 00:00:00
262023|051 4802007320UN010B0UN|051 4802007320|6140618|N01|2020-06-03|Servicio principal|2020-05-08 00:00:00
290859|014 0807301440UNENUN001|014 0807301440|6115860|N06|2020-06-03|Servicio sin cuota|2020-03-07 00:00:00
138311|032 2001801506UN020H0UN|032 2001801506|2155526|N06|2020-06-03|Servicio principal|2020-02-17 00:00:00
108353|013 4802004657UN06DR0UN|013 4802004657|6109506|N06|2020-05-03|Servicio principal|2020-02-06 00:00:00
267504|011 4803600030UN010A0UN|011 4803600030|818871|N06|2020-06-03|Servicio principal|2020-03-05 00:00:00
2319|001 4807800023UN05DR0UN|001 4807800023|6093260|N01|2020-06-03|Servicio sin cuota|2020-01-12 00:00:00
308541|002 2006904080E4050C0UN|002 2006904080|6080498|N01|2020-05-03|Servicio principal|2020-02-12 00:00:00
74900|004 2006900650UN090B0UN|004 2006900650|2236835|N06|2020-04-03|Servicio principal|2020-01-26 00:00:00
7624|007 0105904760IZ05UN00B|007 0105904760|6096817|N06|2020-02-03|Servicio principal|2020-01-10 00:00:00
218041|016 2002801104UN060C0UN|016 2002801104|6127744|N04|2020-04-03|Servicio principal|2020-03-27 00:00:00
67200|001 3120102455UN060D0UN|001 3120102455|6104203|N06|2020-02-03|Servicio sin cuota|2020-01-25 00:00:00
85217|005 4804600067UN020A0UN|005 4804600067|166889|N06|2020-03-03|Servicio principal|2020-01-30 00:00:00
105030|013 2002807006UNUNUNPOR|013 2002807006|2083182|N04|2020-06-03|Servicio principal|2020-02-06 00:00:00
168994|004 0103601255UN020B00D|004 0103601255|6118441|N01|2020-06-03|Servicio principal|2020-03-05 00:00:00
304952|036 2000501170UNPBUN0UN|036 2000501170|6103677|N06|2020-04-03|Servicio principal|2020-01-23 00:00:00
59575|014 4802003997UN080A0UN|014 4802003997|954429|N06|2020-05-03|Servicio principal|2020-01-22 00:00:00
97308|004 4803600111UN02IZ0UN|004 4803600111|6102907|N01|2020-06-03|Servicio principal|2020-02-12 00:00:00
188768|014 4803700017UNPBUN0UN|014 4803700017|1658229|N04|2020-05-03|Servicio principal|2020-03-08 00:00:00
307977|014 2006905050UN010B0UN|014 2006905050|6137327|N06|2020-06-03|Servicio principal|2020-05-13 00:00:00
318788|007 4808200007UN010D0UN|007 4808200007|6111131|N06|2020-04-03|Servicio principal|2020-02-13 00:00:00
92948|041 4802005565UN04IZ0UN|041 4802005565|6107413|N01|2020-03-03|Servicio sin cuota|2020-02-07 00:00:00
151699|004 4808500043UN01DR0UN|004 4808500043|6115666|N04|2020-03-03|Servicio principal|2020-02-26 00:00:00
336238|084 0801901585UN01UN002|084 0801901585|6106546|N01|2020-03-03|Servicio principal|2020-02-06 00:00:00
279689|055 2001801504UN010F0UN|055 2001801504|3562664|N06|2020-02-03|Servicio principal|2020-01-30 00:00:00
94485|020 4802003720UNPBIZ0UN|020 4802003720|6107615|N01|2020-03-03|Servicio principal|2020-02-07 00:00:00
300333|012 4802003210UN060C0UN|012 4802003210|5176|N06|2020-06-03|Servicio principal|2020-05-31 00:00:00
283587|138 0801903435UN04UN002|138 0801903435|6100468|N01|2020-03-03|Servicio principal|2020-01-17 00:00:00
277617|005 4807300129UN01IZ0UN|005 4807300129|1978937|N06|2020-06-03|Servicio principal|2020-05-14 00:00:00
203223|010 2008001340UNPBDR0UN|010 2008001340|6097258|N04|2020-04-03|Servicio principal|2020-03-26 00:00:00
238729|001 2004501203UNPB0B0UN|001 2004501203|6112543|N01|2020-03-03|Servicio sin cuota|2020-02-19 00:00:00
54010|004 4801301290UNPBUN001|004 4801301290|6102552|N06|2020-05-03|Servicio principal|2020-01-23 00:00:00
322831|001 1706600086UN02UN003|001 1706600086|6120777|N01|2020-04-03|Servicio principal|2020-03-14 00:00:00
204931|005 4802001000UN080B0UN|005 4802001000|6117461|N01|2020-04-03|Servicio principal|2020-03-19 00:00:00
254943|004 4802000020UN060A0UN|004 4802000020|6038551|N06|2020-05-03|Servicio principal|2020-04-25 00:00:00
175617|006 2007207003UN040E0UN|006 2007207003|6119579|N01|2020-04-03|Servicio principal|2020-03-27 00:00:00
312666|005 4802002810UN04IZ0UN|005 4802002810|6113773|N01|2020-03-03|Servicio principal|2020-02-28 00:00:00
222738|001 4801500191UNPBUN001|001 4801500191|6108313|N01|2020-05-03|Servicio principal|2020-02-03 00:00:00
261314|014 4804400115UNPBDR0UN|014 4804400115|2085486|N06|2020-05-03|Servicio principal|2020-01-26 00:00:00
105356|002B2007301310UN010A0UN|002B2007301310|906360|N01|2020-03-03|Servicio principal|2020-02-09 00:00:00
31272|002 4808400014UNPBUN002|002 4808400014|3599429|N06|2020-06-03|Servicio principal|2020-01-12 00:00:00
29763|011 4802900006UN010A0UN|011 4802900006|1530298|N06|2020-04-03|Servicio principal|2020-01-11 00:00:00
173407|006 4804300069UN010B0UN|006 4804300069|2006549|N06|2020-05-03|Servicio principal|2020-03-08 00:00:00
42905|020 4803200042UN03DR0UN|020 4803200042|6101256|N04|2020-05-03|Servicio principal|2020-01-17 00:00:00
253572|004 4802005070UNPBIZ0UN|004 4802005070|2240546|N06|2020-06-03|Servicio principal|2020-04-25 00:00:00
265146|015 3120100705UN04IZ0UN|015 3120100705|6138293|N06|2020-06-03|Servicio principal|2020-05-01 00:00:00
167347|015 4802009427UN020C0UN|015 4802009427|224114|N01|2020-04-03|Servicio sin cuota|2020-03-01 00:00:00
47496|007 3120100695UN030C0UN|007 3120100695|6101732|N06|2020-06-03|Servicio sin cuota|2020-01-18 00:00:00
244051|011 4804400093UN060B0UN|011 4804400093|1933552|N01|2020-05-03|Servicio sin cuota|2020-02-26 00:00:00
122300|031 4802003570UNPB0A0UN|031 4802003570|6109510|N04|2020-03-03|Servicio principal|2020-02-13 00:00:00
238017|059 4802001480UN01UN0UN|059 4802001480|6060411|N01|2020-04-03|Servicio principal|2020-01-10 00:00:00
319718|035 4802008860UN01DR0UN|035 4802008860|812567|N06|2020-04-03|Servicio principal|2020-02-28 00:00:00
173473|003 3106000070UN030C0UN|003 3106000070|6119198|N06|2020-04-03|Servicio sin cuota|2020-03-12 00:00:00
215431|033 2006902990UNUNUNPOR|033 2006902990|45810|N06|2020-06-03|Servicio principal|2020-03-24 00:00:00
325042|012 0105904888UN030C0UN|012 0105904888|6096979|N01|2020-04-03|Servicio principal|2020-01-11 00:00:00
205422|008 3120102320UN020D0UN|008 3120102320|6126027|N06|2020-04-03|Servicio principal|2020-03-20 00:00:00
244602|017 4804400093UNPBUN0UN|017 4804400093|970610|N06|2020-06-03|Servicio principal|2020-03-24 00:00:00
1406|037B2007901215UNPBUN0UN|037B2007901215|3635673|N01|2020-02-03|Servicio principal|2020-01-09 00:00:00
88166|005 2006902270UN010E0UN|005 2006902270|6106862|N01|2020-05-03|Servicio sin cuota|2020-02-01 00:00:00
60381|024 4801700043UN05DR0UN|024 4801700043|6103264|N01|2020-02-03|Servicio principal|2020-01-29 00:00:00
6298|020 4802003847UN020B0UN|020 4802003847|6096105|N01|2020-02-03|Servicio sin cuota|2020-01-05 00:00:00
321071|004 1707900350UN03UN002|004 1707900350|6108688|N06|2020-05-03|Servicio sin cuota|2020-02-13 00:00:00
224163|014 4802005450UN040A0UN|014 4802005450|233986|N04|2020-05-03|Servicio principal|2020-03-28 00:00:00
193385|013 2006902375UN02IZ0UN|013 2006902375|6123372|N01|2020-05-03|Servicio principal|2020-03-14 00:00:00
80373|035 4802003810UN03IZ0UN|035 4802003810|6105887|N06|2020-04-03|Servicio principal|2020-01-30 00:00:00
336457|066 4802003930UN060D0UN|066 4802003930|6108965|N04|2020-06-03|Servicio principal|2020-02-09 00:00:00
101681|048 0105900540UN020D0UN|048 0105900540|6105815|N01|2020-06-03|Servicio sin cuota|2020-02-02 00:00:00
191264|007 4802001167UNPB0A0UN|007 4802001167|6121173|N01|2020-04-03|Servicio sin cuota|2020-03-12 00:00:00
658|015 4802009427UN070B0UN|015 4802009427|6087837|N01|2020-05-03|Servicio principal|2020-01-22 00:00:00
186309|004 4806000070UN040A0UN|004 4806000070|6121752|N01|2020-06-03|Servicio sin cuota|2020-03-09 00:00:00
195000|002 4808200111UN07CN0UN|002 4808200111|6123745|N01|2020-04-03|Servicio sin cuota|2020-03-12 00:00:00
257311|011 0105106020UN02IZ0UN|011 0105106020|6136115|N06|2020-06-03|Servicio principal|2020-05-01 00:00:00
37077|003 2608900846E1060A0UN|003 2608900846|6100632|N06|2020-04-03|Servicio sin cuota|2020-01-16 00:00:00
263831|035 4801301370UN050D0UN|035 4801301370|6099994|N01|2020-04-03|Servicio sin cuota|2020-01-17 00:00:00
253000|026 0105902320UN090B0UN|026 0105902320|6115868|N04|2020-03-03|Servicio principal|2020-02-28 00:00:00
137228|012 4804400095UN010D0UN|012 4804400095|1974527|N06|2020-03-03|Servicio principal|2020-02-27 00:00:00
212595|004 4802002085UN050C0UN|004 4802002085|6127626|N01|2020-05-03|Servicio sin cuota|2020-03-28 00:00:00
127911|001 4890201170UN030C0UN|001 4890201170|1804906|N06|2020-06-03|Servicio principal|2020-02-14 00:00:00
42756|040 4808500127UN02DR0UN|040 4808500127|6100853|N06|2020-06-03|Servicio sin cuota|2020-01-19 00:00:00
165926|002 2090300801UN030B0UN|002 2090300801|6117944|N01|2020-05-03|Servicio sin cuota|2020-02-29 00:00:00
221109|012 4807400058UN02DR0UN|012 4807400058|6125988|N06|2020-06-03|Servicio sin cuota|2020-04-16 00:00:00
132632|023 4801302300UN050A0UN|023 4801302300|2286926|N01|2020-05-03|Servicio sin cuota|2020-02-16 00:00:00
217488|003 4801200070UN080D0UN|003 4801200070|1817315|N06|2020-05-03|Servicio principal|2020-03-24 00:00:00
148295|002 4801700083UN020D0UN|002 4801700083|6115074|N04|2020-05-03|Servicio principal|2020-02-23 00:00:00
135321|030 0100202180UN010A0UN|030 0100202180|6112676|N01|2020-05-03|Servicio sin cuota|2020-02-20 00:00:00
50017|005 2006903240UN010A0UN|005 2006903240|6102105|N01|2020-03-03|Servicio sin cuota|2020-01-23 00:00:00
100077|025 3101600018UN070C0UN|025 3101600018|6108350|N06|2020-05-03|Servicio sin cuota|2020-02-12 00:00:00
92819|002 2005502160UN02DR0UN|002 2005502160|6107398|N01|2020-05-03|Servicio sin cuota|2020-02-05 00:00:00
272804|006 2005501230UN090B0UN|006 2005501230|6140228|N06|2020-06-03|Servicio principal|2020-05-07 00:00:00
285837|001 2001301170UN01DR0UN|001 2001301170|6144765|N01|2020-06-03|Servicio principal|2020-05-21 00:00:00
865|011 4802005250UN060A0UN|011 4802005250|6088976|N01|2020-06-03|Servicio sin cuota|2020-01-10 00:00:00
232458|011 2006703801UN020B0UN|011 2006703801|6124045|N01|2020-06-03|Servicio sin cuota|2020-03-18 00:00:00
163690|042 2005504240UN010B0UN|042 2005504240|274623|N06|2020-04-03|Servicio principal|2020-02-27 00:00:00
336421|062 4802003930UN030D0UN|062 4802003930|6108671|N06|2020-06-03|Servicio principal|2020-02-08 00:00:00
1051|001 2006907220UN030C0UN|001 2006907220|6089786|N06|2020-05-03|Servicio principal|2020-01-11 00:00:00
287515|069 0801902073UN01UN004|069 0801902073|6112194|N06|2020-03-03|Servicio principal|2020-02-14 00:00:00
238536|007 4802003860UN070D0UN|007 4802003860|1506607|N06|2020-03-03|Servicio principal|2020-02-07 00:00:00
310301|001A4804400103UNPBUN001|001A4804400103|2161704|N06|2020-04-03|Servicio principal|2020-03-24 00:00:00
60004|012 2007601204UN040D0UN|012 2007601204|6103261|N06|2020-06-03|Servicio principal|2020-01-24 00:00:00
290599|031 0810102890DR06UN003|031 0810102890|6119334|N04|2020-04-03|Servicio principal|2020-03-14 00:00:00
258625|015 3122700005UN030B0UN|015 3122700005|4250753|N06|2020-05-03|Servicio sin cuota|2020-03-05 00:00:00
277396|004 2608900772UN040G0UN|004 2608900772|6141976|N04|2020-06-03|Servicio principal|2020-05-24 00:00:00
209636|013 2003401301UN01UN0UN|013 2003401301|2001721|N06|2020-04-03|Servicio principal|2020-03-24 00:00:00
139673|003 0105904604UN020A0UN|003 0105904604|6112464|N01|2020-05-03|Servicio principal|2020-02-22 00:00:00
38771|006 3123200038UN01IZ0UN|006 3123200038|6100829|N04|2020-06-03|Servicio principal|2020-01-16 00:00:00
162856|027 3120100695UN010A0UN|027 3120100695|6117406|N01|2020-05-03|Servicio principal|2020-03-01 00:00:00
225726|032 0105900190UN01DR0UN|032 0105900190|6103582|N06|2020-04-03|Servicio principal|2020-04-01 00:00:00
98411|043 0105903440UNPBUN0UN|043 0105903440|4253574|N01|2020-04-03|Servicio principal|2020-02-05 00:00:00
154419|017 2005501430UN04IZ0UN|017 2005501430|962608|N01|2020-05-03|Servicio principal|2020-02-26 00:00:00
138043|007 2003201510UN01DR0UN|007 2003201510|4126639|N06|2020-03-03|Servicio principal|2020-02-16 00:00:00
335521|148 0801903350UN01UN002|148 0801903350|6099087|N06|2020-06-03|Servicio sin cuota|2020-01-18 00:00:00
157015|011 2090200210UN070B0UN|011 2090200210|6116503|N04|2020-05-03|Servicio principal|2020-02-28 00:00:00
174216|006 4802008720UN010B0UN|006 4802008720|6119326|N04|2020-05-03|Servicio principal|2020-03-14 00:00:00
144785|018 3106000007UN020C0UN|018 3106000007|6114563|N06|2020-06-03|Servicio sin cuota|2020-03-05 00:00:00
241149|073 2608900149E1070D0UN|073 2608900149|6097355|N04|2020-04-03|Servicio principal|2020-01-09 00:00:00
103815|024 0105901100UN02IZ0UN|024 0105901100|6108859|N01|2020-05-03|Servicio principal|2020-02-19 00:00:00
248577|037 2006905090UN01DR0UN|037 2006905090|6135292|N04|2020-06-03|Servicio principal|2020-04-23 00:00:00
74593|005 4804400319UN040D0IZ|005 4804400319|6105185|N04|2020-02-03|Servicio principal|2020-01-31 00:00:00
103690|003 2008101407UN04UN0UN|003 2008101407|6108835|N06|2020-04-03|Servicio principal|2020-02-06 00:00:00
66205|014 4802900073UN040C0UN|014 4802900073|4248711|N06|2020-05-03|Servicio principal|2020-01-24 00:00:00
23017|009 4802006230UN07CN0UN|009 4802006230|6099056|N06|2020-06-03|Servicio principal|2020-01-15 00:00:00
40835|020 4802005100UN030B0UN|020 4802005100|6101040|N01|2020-02-03|Servicio sin cuota|2020-01-16 00:00:00
6181|003 3120101620UN010B0UN|003 3120101620|6030126|N04|2020-04-03|Servicio principal|2020-01-15 00:00:00
90936|002 3125800019UNPBUN002|002 3125800019|6105836|N01|2020-06-03|Servicio principal|2020-01-31 00:00:00
122503|023 3190300049UNPB0B0UN|023 3190300049|6111351|N04|2020-04-03|Servicio principal|2020-02-26 00:00:00
61817|010 2004503810UNPBUN001|010 2004503810|6103563|N01|2020-03-03|Servicio sin cuota|2020-01-24 00:00:00
280396|060 2608900028E2040B0UN|060 2608900028|6099238|N04|2020-05-03|Servicio principal|2020-01-12 00:00:00
22365|003 0105900190UN050A0UN|003 0105900190|6098953|N06|2020-06-03|Servicio principal|2020-01-12 00:00:00
58324|006 4890100003UN02DR0IZ|006 4890100003|6103056|N01|2020-06-03|Servicio sin cuota|2020-01-24 00:00:00
238302|030 2006502120UN03DR0UN|030 2006502120|2310669|N04|2020-06-03|Servicio principal|2020-02-02 00:00:00
287653|010 0801903079UN02UN004|010 0801903079|6112605|N06|2020-03-03|Servicio sin cuota|2020-02-15 00:00:00
127122|007 4801700059UN01UN0UN|007 4801700059|6111983|N01|2020-04-03|Servicio sin cuota|2020-02-16 00:00:00
114043|020 4802004350UN040B0UN|020 4802004350|6110176|N06|2020-04-03|Servicio sin cuota|2020-02-16 00:00:00
1521|012 2007601503UN020C0UN|012 2007601503|6091755|N01|2020-02-03|Servicio principal|2020-01-11 00:00:00
27668|002 4801302150UNPBUN001|002 4801302150|1605413|N01|2020-02-03|Servicio principal|2020-01-18 00:00:00
235512|014 4804400209UN010A0UN|014 4804400209|3618277|N01|2020-06-03|Servicio sin cuota|2020-02-12 00:00:00
154909|002 0811302230UNENUN001|002 0811302230|6079272|N06|2020-05-03|Servicio sin cuota|2020-03-01 00:00:00
159113|002 2003004404UN060B0UN|002 2003004404|6116806|N01|2020-06-03|Servicio sin cuota|2020-03-07 00:00:00
331969|039 0820001280EB02UN001|039 0820001280|6110511|N06|2020-05-03|Servicio sin cuota|2020-02-13 00:00:00
227922|015 4801500130UN030B0UN|015 4801500130|6129668|N01|2020-04-03|Servicio principal|2020-04-02 00:00:00
165655|025 2006908810UN030B0UN|025 2006908810|6114004|N06|2020-04-03|Servicio sin cuota|2020-03-01 00:00:00
33929|020 4805200015UN030A0UN|020 4805200015|6099762|N04|2020-04-03|Servicio principal|2020-01-16 00:00:00
156526|008 4809000079UN010B0UN|008 4809000079|6116430|N04|2020-03-03|Servicio principal|2020-02-27 00:00:00
49777|052 0105904160UNPBUN002|052 0105904160|6102089|N06|2020-02-03|Servicio principal|2020-01-19 00:00:00
12973|039 3123200665UNEN0B0UN|039 3123200665|6088839|N06|2020-03-03|Servicio principal|2020-01-05 00:00:00
63986|013D4805400117UN030C0UN|013D4805400117|6103822|N04|2020-05-03|Servicio principal|2020-01-23 00:00:00
153973|004 2007401640UN01DR0UN|004 2007401640|6116030|N04|2020-06-03|Servicio principal|2020-02-26 00:00:00
155416|018 4801600025UN010J0UN|018 4801600025|6116244|N01|2020-04-03|Servicio sin cuota|2020-03-01 00:00:00
142822|004 4801301380UNPBUN001|004 4801301380|6114308|N04|2020-03-03|Servicio principal|2020-02-20 00:00:00
148688|002 2005501696UN040J0UN|002 2005501696|6114774|N06|2020-03-03|Servicio principal|2020-02-23 00:00:00
46165|009 4802003260UN06DR0UN|009 4802003260|6101608|N06|2020-02-03|Servicio principal|2020-01-18 00:00:00
226068|001 2006901575UN040B0UN|001 2006901575|6129479|N06|2020-04-03|Servicio principal|2020-04-02 00:00:00
87761|074 0105904747UN060C0UN|074 0105904747|6106779|N01|2020-04-03|Servicio principal|2020-02-05 00:00:00
62003|041 0105902310UN03IZ0UN|041 0105902310|6103600|N06|2020-05-03|Servicio principal|2020-01-24 00:00:00
156746|017 0105904735EB060B0UN|017 0105904735|763455|N06|2020-03-03|Servicio principal|2020-02-24 00:00:00
60326|005 2007601404UN030C0UN|005 2007601404|525986|N06|2020-02-03|Servicio principal|2020-01-22 00:00:00
149115|004 4808000039UNEN010UN|004 4808000039|941837|N06|2020-03-03|Servicio principal|2020-02-21 00:00:00
253318|026 0105902320UN090D0UN|026 0105902320|6123252|N01|2020-05-03|Servicio sin cuota|2020-03-15 00:00:00
261776|056 2608900151UN150C0UN|056 2608900151|6121875|N04|2020-05-03|Servicio principal|2020-03-11 00:00:00
22495|005 2006901380UN070A0UN|005 2006901380|6098994|N01|2020-06-03|Servicio principal|2020-01-10 00:00:00
50482|009 4804400138UN020B0UN|009 4804400138|6102168|N04|2020-04-03|Servicio principal|2020-01-23 00:00:00
197410|002 4808400043UN01IZ0UN|002 4808400043|6124291|N04|2020-06-03|Servicio principal|2020-03-14 00:00:00
120006|027 2005504260UN02DR0UN|027 2005504260|6111055|N01|2020-06-03|Servicio sin cuota|2020-02-13 00:00:00
48434|006 0105904679UN070C0UN|006 0105904679|6101837|N01|2020-03-03|Servicio principal|2020-01-30 00:00:00
148889|022 2001501110UN020A0UN|022 2001501110|6115129|N06|2020-05-03|Servicio principal|2020-02-27 00:00:00
164843|012 4805700063UNPBIZ0UN|012 4805700063|6117730|N01|2020-05-03|Servicio principal|2020-03-04 00:00:00
10915|003 4802006690UN03UN003|003 4802006690|6097528|N06|2020-05-03|Servicio principal|2020-01-05 00:00:00
247894|012 0103203060UNPBUN00A|012 0103203060|4130435|N06|2020-06-03|Servicio sin cuota|2020-05-27 00:00:00
287594|045 0808900007UNPBUN0UN|045 0808900007|6112427|N04|2020-04-03|Servicio principal|2020-03-05 00:00:00
101363|032 4800200067UN070E0UN|032 4800200067|2329932|N06|2020-05-03|Servicio principal|2020-02-02 00:00:00
160608|004 2006901095UN020D0UN|004 2006901095|202068|N06|2020-03-03|Servicio principal|2020-02-27 00:00:00
122943|009 4801200075UN080H0UN|009 4801200075|6111420|N04|2020-05-03|Servicio principal|2020-02-15 00:00:00
315401|006 4890200800UN040A0UN|006 4890200800|632562|N06|2020-02-03|Servicio principal|2020-02-02 00:00:00
63966|012 3120101435UN01UN003|012 3120101435|6103816|N01|2020-05-03|Servicio principal|2020-01-26 00:00:00
20772|018 3190200079UN030C0UN|018 3190200079|4251197|N06|2020-04-03|Servicio sin cuota|2020-01-10 00:00:00
216395|001A4890100012UNPBUN0UN|001A4890100012|178181|N06|2020-04-03|Servicio principal|2020-03-24 00:00:00
285528|004 4807800113UN02IZ0UN|004 4807800113|6144492|N04|2020-06-03|Servicio principal|2020-05-22 00:00:00
