|Catastro|ReferenciaCP|IdCliente|Producto|Fecha|TipoProducto|AltaCliente
230332|005 4804400281UN04IZ0UN|005 4804400281|1977351|N06|2020-04-03|Servicio principal|2020-02-26 00:00:00
64841|002 0105902530UN060C0UN|002 0105902530|6103924|N04|2020-03-03|Servicio principal|2020-01-29 00:00:00
153908|004 2008001540UN020C0UN|004 2008001540|4167856|N01|2020-05-03|Servicio principal|2020-02-23 00:00:00
181807|034 0105903360UNPBUN001|034 0105903360|4085803|N06|2020-04-03|Servicio principal|2020-03-06 00:00:00
131701|006 4808200130UNPBIZ0UN|006 4808200130|6112675|N01|2020-04-03|Servicio principal|2020-02-17 00:00:00
238460|003E4801302700UN010A0UN|1,79769313486232E+308|6108443|N04|2020-04-03|Servicio principal|2020-02-20 00:00:00
257034|020 3120101195UN020D0UN|020 3120101195|6136833|N01|2020-06-03|Servicio principal|2020-05-02 00:00:00
266138|004 4801301280UN060A0UN|004 4801301280|3500970|N04|2020-06-03|Servicio principal|2020-05-02 00:00:00
222310|023A4802002970UN05IZ0UN|023A4802002970|3601973|N06|2020-04-03|Servicio principal|2020-01-09 00:00:00
28490|008 4890200080UN030A0UN|008 4890200080|2226472|N06|2020-06-03|Servicio principal|2020-01-11 00:00:00
263566|008 4801500026UNPBUN001|008 4801500026|6093245|N01|2020-04-03|Servicio principal|2020-01-11 00:00:00
183340|003 3106000065UN010A0UN|003 3106000065|6121142|N01|2020-06-03|Servicio principal|2020-03-18 00:00:00
208225|008 2005501672UN050A0UN|008 2005501672|3480266|N04|2020-04-03|Servicio principal|2020-03-19 00:00:00
28688|021 2006706043UN050B0UN|021 2006706043|3638431|N06|2020-04-03|Servicio principal|2020-01-11 00:00:00
235323|012A4804400209UN020A0UN|012A4804400209|6104990|N04|2020-05-03|Servicio principal|2020-01-26 00:00:00
239892|013 4809500026UN04IZ0UN|013 4809500026|6131746|N06|2020-06-03|Servicio principal|2020-04-18 00:00:00
323025|008 4802007980UN01IZ0UN|008 4802007980|895176|N06|2020-05-03|Servicio principal|2020-03-12 00:00:00
33053|006 0105901542UN040A0UN|006 0105901542|6100180|N04|2020-02-03|Servicio principal|2020-01-22 00:00:00
156858|008 2004501315UN020B0UN|008 2004501315|2357363|N06|2020-05-03|Servicio principal|2020-02-24 00:00:00
320615|032 2000501150UN04IZ0UN|032 2000501150|6097043|N06|2020-06-03|Servicio principal|2020-01-04 00:00:00
2920|009 4808500127UN02DR0UN|009 4808500127|7778|N04|2020-03-03|Servicio principal|2020-01-11 00:00:00
315531|077 4802008350UN04UN0UN|077 4802008350|1414768|N01|2020-06-03|Servicio principal|2020-02-20 00:00:00
15172|003 4806000063UNPBUN0UN|003 4806000063|1902156|N01|2020-03-03|Servicio principal|2020-01-11 00:00:00
219925|003 4802006855UNS1UN006|003 4802006855|6128212|N06|2020-05-03|Servicio principal|2020-03-26 00:00:00
259122|029 4808300023UNPBDR0UN|029 4808300023|3586087|N06|2020-04-03|Servicio principal|2020-03-28 00:00:00
126387|028 4802004380UN01IZ0UN|028 4802004380|4208566|N01|2020-06-03|Servicio principal|2020-02-28 00:00:00
76230|008 0103601265UN04IZ0UN|008 0103601265|6105385|N06|2020-03-03|Servicio principal|2020-01-30 00:00:00
20110|006 2001901360UN040B0UN|006 2001901360|6098342|N06|2020-03-03|Servicio principal|2020-01-12 00:00:00
242780|056C4312302590UN01UN001|056C4312302590|6059850|N01|2020-05-03|Servicio principal|2020-04-24 00:00:00
236294|007 4808200037UN04DR0UN|007 4808200037|957821|N06|2020-06-03|Servicio principal|2020-04-10 00:00:00
49393|007 3120101255UN01IZ0UN|007 3120101255|6102013|N04|2020-06-03|Servicio principal|2020-02-05 00:00:00
264044|011 4802003065UN030E0UN|011 4802003065|6102837|N04|2020-02-03|Servicio principal|2020-01-22 00:00:00
286669|005 0801900855UNA10C0UN|005 0801900855|6106906|N01|2020-05-03|Servicio principal|2020-02-07 00:00:00
90345|019 2007401110UNPBUN001|019 2007401110|6107130|N06|2020-02-03|Servicio principal|2020-02-02 00:00:00
